par_id,rmse,nse,r,re,mae,nmae
p01,4.8346469122054,0.311663737383898,0.727073071732254,-0.110917894309398,4.22308607329207,0.363083255959842
p02,4.80052836544242,0.32134476078589,0.727312910548148,0.0188885139249814,3.82462622387861,0.32630233025046
p03,5.46233011658979,0.121327544803954,0.692996558403054,-0.225987247165371,4.68482698894215,0.391065006039231
p04,3.96897410921323,0.536096491007374,0.82120485838914,0.124676727264882,2.64364167139497,0.208278536116287
p05,5.40819075976028,0.138658981782577,0.730781385066057,0.137208641673976,3.55100683997465,0.306765379364446
p06,4.90028089368515,0.292847507467081,0.729402911764118,0.0622451620444504,3.64703066299917,0.310817795037065
p07,4.82708552159764,0.313815170283381,0.729781409293219,-0.0814778138459927,4.06881510353614,0.354909716343586
p08,4.75443228260604,0.334315479759836,0.736043688409371,-0.129802201416364,4.24694555433802,0.362687501608813
p09,4.70188784421636,0.348948030756452,0.741597724734799,0.0147600281828437,3.45722423960157,0.299021768131491
p10,4.05681615391184,0.515334864774348,0.791358732823689,0.03308340183958,2.88272178622993,0.244869624142223
